abv_max,abv_min,abw_max,abw_min,category,description,ebc_max,ebc_min,fg_max,fg_min,fg_plato_max,fg_plato_min,ibu_max,ibu_min,id,name,og_max,og_min,og_plato_max,og_plato_min,origin,srm_max,srm_min,year
5.5,4.5,4.2,3.5,Ale,"Classic English pale ales are golden to copper colored. Chill haze may be in evidence only at very cold temperatures. They have low to medium malt flavor and aroma. Low caramel malt character is allowable. Medium to medium-high hop bitterness, flavor, and aroma should be evident. Hop character is evident as earthy, herbal English-variety hop character. Note that â€œearthy, herbal English-variety hop characterâ€ is the perceived end, but may be a result of the skillful use of hops of other national origins. This is a medium-bodied ale. Fruity-ester flavors and aromas are moderate to strong. The absence of diacetyl is desirable, though, diacetyl (butterscotch character) is acceptable and characteristic when at very low levels.
",24,10,1.016,1.008,4,2,40,20,1,"Classic English-Style Pale Ale",1.056,1.04,14,10,British,12,5,2013
7,5,5.6,4,Ale,"This is pale gold to deep copper-colored ale. Chill haze is allowable at cold temperatures. English-style India pale ales possess medium maltiness and body. Most traditional interpretations of English-style India pale ales are characterized by medium to medium-high hop bitterness with a medium to medium-high alcohol content. Hops from a variety of origins may be used to contribute to a high hopping rate. Earthy and herbal English-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer, sometimes with subtle and balanced character of sulfur compounds. It has a medium to high, flowery hop aroma and may have a medium to strong hop flavor (in addition to the hop bitterness). Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Hops of other origins may be used for bitterness or approximating traditional English character.",28,12,1.018,1.012,4.5,3,63,35,2,"English-Style India Pale Ale",1.064,1.05,15.7,12.5,British,14,6,2013
4.1,3,3.3,2.4,Ale,"Ordinary bitter is gold to copper colored with, light to medium body, and low to medium residual malt sweetness. Chill haze is allowable at cold temperatures. Hop flavor and aroma character may be evident at the brewerâ€™s discretion. Hop bitterness is medium. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character and very low diacetyl (butterscotch) character are acceptable in aroma and flavor, but should be minimized in this form of bitter. (Englishand American hop character may be specified in subcategories.)",24,10,1.012,1.006,3,1.5,35,20,3,"Ordinary Bitter",1.038,1.033,9.5,8.2,British,12,5,2013
4.8,4.1,3.8,3.3,Ale,"Special bitter is deep gold to copper colored Chill haze is allowable at cold temperatures. It has medium body and medium residual malt sweetness. It. Hop bitterness should be medium and absent of harshness. Hop flavor and aroma character may be very low to medium at the brewerâ€™s discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. (English and American hop character may be specified in subcategories.)",28,12,1.012,1.006,3,1.5,40,28,4,"Special Bitter or Best Bitter",1.045,1.038,11.2,9.5,British,14,6,2013
5.8,4.8,4.6,3.8,Ale,"Extra special bitter is amber to copper colored. Chill haze is allowable at cold temperatures. The residual malt and defining sweetness of this richly flavored, full-bodied bitter is medium to medium-high. It has medium to medium-high hop aroma, flavor, and bitterness. Mild carbonation traditionally characterizes draft- cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. English or American hops may be used. (English and American hop character may be specified in subcategories.)",28,16,1.016,1.01,4,2.5,45,30,5,"Extra Special Bitter",1.06,1.046,14.7,11.5,British,14,8,2013
5,3.6,4,2.9,Ale,"English-style summer ale is pale to light amber colored. Chill haze is allowable at cold temperatures. They have low to medium residual malt sweetness. Torrefied and/or malted wheat are often used in quantities of 25% or less. Malt flavor may be biscuit-like. Hop bitterness is medium-low to medium. English, American or Noble-type hop flavor and aroma is low to medium-low and should not be assertive and always well balanced with malt character. It has light to medium-light body. Mild carbonation traditionally characterizes draft-cask versions. In bottled versions, normal or lively carbon dioxide content is appropriate. The overall impression is refreshing and thirst quenching. Fruity-ester characters are acceptable at low to moderate levels. No butterscotch-like diacetyl or sweet corn-like dimethylsulfide (DMS) should be apparent in aroma or flavor.",14,8,1.012,1.006,3,1.5,30,20,6,"English-Style Summer Ale",1.05,1.036,12.5,9,British,7,4,2013
3.5,2.8,2.8,2.2,Ale,"Scottish-style light ale will range from golden to light brown in color. Chill haze is acceptable at low temperatures. Despite its lightness, Scottish-style light ale will have a low to medium-low degree of malty, caramel-like, soft and chewy character. Low hop bitterness is perceived. Hop flavor and aroma should not be perceived. These beers are light bodied. Yeast characters such as diacetyl (butterscotch) and sulfuriness are acceptable at very low levels. Bottled versions of this traditional draft beer may contain higher amounts of carbon dioxide than is typical for mildly carbonated draft versions. Though there is little evidence suggesting that traditionally made Scottish-style light ales exhibited peat smoke character, the current marketplace offers many Scottish-style light ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low levels (ales with medium or higher smoke character would be considered a smoke flavored beer and considered in another category). Scottish-style light ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",15,6,1.012,1.006,3,1.5,20,9,7,"Scottish-Style Light Ale",1.035,1.03,8.8,7.5,British,15,6,2013
4,3.5,3.2,2.8,Ale,"Scottish-style heavy ale color will range from amber to dark brown. Chill haze is acceptable at low temperatures. It is dominated by a smooth, balanced sweet maltiness. In addition Scottish heavy ale will have a medium degree of malty, caramel- like, soft and chewy character in flavor and mouthfeel. Though there is little evidence suggesting that traditionally made Scottish- style heavy ales exhibited peat smoke malt character, the current marketplace offers many Scottish-style heavy ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low to medium levels (ales with medium-high or higher smoke character would be considered a smoke flavored beer and considered in another category). Hop bitterness is low but perceptible. Hop flavor and aroma should not be perceived. It has medium body. Fruity esters are very low, if evident. Yeast characters such as diacetyl (butterscotch) and sulfuriness are acceptable at very low levels. Bottled versions of this traditional draft beer may contain higher amounts of carbon dioxide than is typical for mildly carbonated draft versions.Scottish-style heavy ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",38,16,1.014,1.01,3.5,2.5,20,12,8,"Scottish-Style Heavy Ale",1.04,1.035,10,8.8,British,19,8,2013
5.3,4,4.2,3.2,Ale,"Scottish-style export ale will range from medium amber to chestnut brown in color. Chill haze is acceptable at low temperatures. The overriding character of Scottish-style export ale is sweet, caramel-like, and malty. Though there is little evidence suggesting that traditionally made Scottish-style export ales exhibited peat smoke character, the current marketplace offers many Scottish-style export ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low to medium levels (ales with medium-high or higher smoke character would be considered a smoke flavored beer and considered in another category). Hop bitterness is perceived as low to medium. Hop flavor and aroma should not be perceived. It has medium body. Fruity-ester character may be apparent. Yeast characters such as diacetyl (butterscotch) and sulfuriness are acceptable at very low levels. Bottled versions of this traditional draft beer may contain higher amounts of carbon dioxide than is typical for mildly carbonated draft versions. Scottish-style export ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",38,18,1.018,1.01,4.5,2.5,25,15,9,"Scottish-Style Export Ale",1.05,1.04,12.5,10,British,19,9,2013
4,3.2,3.2,2.7,Ale,"English-style pale mild ale ranges from light amber to medium amber in color. Chill haze is allowable at cold temperatures. Malt flavor dominates the flavor profile. Hop bitterness and flavor is very low to low. Hop aroma can low. Very low diacetyl flavors may be appropriate in this low-alcohol beer. Fruity-ester level is very low to medium low.",18,12,1.008,1.004,2,1,20,10,10,"English-Style Pale Mild Ale",1.036,1.03,9,7.5,British,9,6,2013
